fan_out,n_tweets,n_channels,selectivity_pct,off_median_ms,off_mean_ms,off_min_ms,off_l1,on_median_ms,on_mean_ms,on_min_ms,on_l1,speedup,off_total_median_ms,on_total_median_ms
200,100,100,50.0,89.937,90.217,89.594,403,3.547,3.526,3.468,102,25.36,90.857,4.663
200,40,160,20.0,88.751,88.695,87.65,403,1.686,1.83,1.639,42,52.64,89.678,2.746
200,20,180,10.0,90.126,89.804,89.007,403,1.025,1.044,1.023,22,87.93,91.068,2.133
200,10,190,5.0,88.822,89.569,88.106,403,0.702,0.698,0.674,12,126.53,89.781,1.689
200,4,196,2.0,87.122,87.715,87.037,403,0.499,0.507,0.488,6,174.59,88.011,1.525
50,3,47,6.0,21.751,21.836,21.556,103,0.447,0.469,0.444,5,48.66,22.404,1.141
100,5,95,5.0,44.256,44.765,44.06,203,0.532,0.537,0.525,7,83.19,45.787,1.348
400,20,380,5.0,177.545,331.6,176.393,803,1.024,1.028,1.009,22,173.38,179.209,2.597
500,5,495,1.0,221.036,221.071,217.787,1003,0.531,0.547,0.521,7,416.26,222.448,2.162
500,25,475,5.0,219.895,224.395,215.348,1003,1.224,1.222,1.19,27,179.65,221.339,2.91
500,50,450,10.0,222.029,221.6,219.748,1003,2.076,2.071,1.997,52,106.95,223.503,3.925
