fan_out,n_tweets,n_channels,selectivity_pct,off_median_ms,off_mean_ms,off_min_ms,off_l1,on_median_ms,on_mean_ms,on_min_ms,on_l1,speedup,off_total_median_ms,on_total_median_ms
200,100,100,50.0,91.593,91.694,91.133,403,21.139,21.12,21.016,102,4.33,92.461,22.974
200,40,160,20.0,88.026,88.074,87.128,403,8.813,8.89,8.756,42,9.99,88.911,10.738
200,20,180,10.0,88.362,88.187,87.399,403,4.862,4.912,4.781,22,18.17,89.243,6.636
200,10,190,5.0,89.489,90.248,88.493,403,2.742,2.776,2.708,12,32.64,90.371,4.497
200,4,196,2.0,88.601,88.565,87.939,403,1.544,1.698,1.536,6,57.38,89.486,3.331
50,3,47,6.0,22.323,22.278,21.988,103,0.89,0.891,0.877,5,25.08,22.931,1.707
100,5,95,5.0,44.653,44.716,43.498,203,1.44,1.535,1.387,7,31.01,45.44,2.553
400,20,380,5.0,174.454,174.175,172.732,803,5.324,5.323,5.297,22,32.77,175.715,8.373
500,5,495,1.0,224.776,227.158,217.688,1003,2.503,2.541,2.45,7,89.8,226.241,6.394
500,25,475,5.0,229.395,232.286,220.641,1003,7.001,7.171,6.84,27,32.77,231.313,11.446
500,50,450,10.0,219.338,219.676,214.48,1003,11.779,11.814,11.677,52,18.62,220.741,15.837
