fan_out,n_tweets,n_channels,selectivity_pct,off_median_ms,off_mean_ms,off_min_ms,off_l1,on_median_ms,on_mean_ms,on_min_ms,on_l1,speedup,off_total_median_ms,on_total_median_ms
200,100,100,50.0,90.219,90.536,89.162,403,3.449,3.444,3.398,102,26.16,91.057,4.398
200,40,160,20.0,89.292,94.005,87.294,403,1.616,1.61,1.571,42,55.25,90.289,2.585
200,20,180,10.0,87.395,87.436,86.481,403,1.006,1.014,0.98,22,86.87,88.327,1.989
200,10,190,5.0,89.047,88.991,87.747,403,0.669,0.663,0.645,12,133.1,89.926,1.651
200,4,196,2.0,89.568,92.526,88.155,403,0.47,0.47,0.461,6,190.57,90.462,1.481
50,3,47,6.0,21.887,21.977,21.822,103,0.429,0.444,0.421,5,51.02,22.507,1.089
100,5,95,5.0,45.027,45.008,44.393,203,0.503,0.512,0.493,7,89.52,45.981,1.267
400,20,380,5.0,179.675,179.753,178.62,803,1.006,1.002,0.991,22,178.6,180.963,2.519
500,5,495,1.0,216.801,220.216,212.795,1003,0.493,0.494,0.487,7,439.76,218.232,2.061
500,25,475,5.0,224.031,224.384,222.229,1003,1.206,1.648,1.133,27,185.76,225.863,2.842
500,50,450,10.0,219.734,219.999,219.303,1003,1.958,1.976,1.921,52,112.22,221.155,3.704
