fan_out,n_tweets,n_channels,selectivity_pct,median_ms,mean_ms,min_ms,max_ms,server_traversal_median_ms,server_build_median_ms,correctness_failures
200,100,100,50.0,10.367,10.594,10.103,11.285,4.4667,0.1996,0
200,40,160,20.0,7.919,7.939,7.829,8.132,2.7347,0.0817,0
200,20,180,10.0,7.394,7.362,7.238,7.419,2.33,0.044,0
200,10,190,5.0,7.01,7.066,6.956,7.355,2.1241,0.0242,0
200,4,196,2.0,7.11,7.021,6.818,7.217,1.9927,0.0128,0
50,3,47,6.0,8.124,8.048,7.717,8.439,2.2004,0.012,0
100,5,95,5.0,6.75,6.952,6.653,7.596,1.9506,0.0146,0
400,20,380,5.0,7.406,7.514,7.347,7.811,2.3522,0.0439,0
500,5,495,1.0,6.995,7.075,6.805,7.411,2.0177,0.0152,0
500,25,475,5.0,7.53,7.503,7.387,7.629,2.4716,0.0533,0
500,50,450,10.0,8.426,8.442,8.189,8.682,3.0152,0.1035,0
